sample_id,trial_id,pair_id,language,provider,caller_provider,scenario,attempted,carrier_status,attempted_at_utc,collected_at_utc,audio_sha256,state_pass,state_pass_with_erratum,grader_errata,policy_pass,caller_transcript_review,spoken_truth_transcript_review,spoken_consent_transcript_review,human_audio_verified,recording_duration_s,median_audio_proxy_gap_ms,target_active_frame_median_dbfs,target_known_model_components_usd,caller_known_model_components_usd,carrier_known_usd,asr_estimate_usd,validated_latency_ms,invoice_total_usd,personal_score
S001,P01-1,P01,ro,gptlive,gptlive,sim-retry-after-timeout,True,completed,2026-09-12T21:52:55.060048+00:00,2026-09-12T21:56:29.089137+00:00,64c148c0134cbc119aaa42e34d0fc75b01fa73db3b9525eb7c59738304a3407b,False,False,,True,fail,unclear,not_applicable,False,179.94,2000,-19.191067540510826,0.1779199,0.15783116666666666,0.0878,0.060328999999999994,,,
S002,P01-2,P01,ro,gemini,gptlive,sim-retry-after-timeout,True,completed,2026-09-12T21:56:29.170843+00:00,2026-09-12T22:00:00.128428+00:00,accb53b5f7c80394e50d8badbd2cb7d32e6f63a4f265330fb095b46d69915a3c,False,False,,True,fail,pass,pass,False,180.06,1700,-18.09537223268318,0.0241935,0.15166666666666667,0.0903,0.017895,,,
S003,P02-1,P02,en,gemini,gemini,sim-existing-order,True,completed,2026-09-12T22:00:00.226007+00:00,2026-09-12T22:01:37.279015+00:00,7ae30e560335d23777aee2b288fcde1ec59277edb870e279f536b200a268c554,True,True,,True,pass,unclear,pass,False,64.84,2300,-17.27006511816064,0.0250005,0.0186765,0.0514,0.022164999999999997,,,
S004,P02-2,P02,en,gptlive,gemini,sim-existing-order,True,completed,2026-09-12T22:01:37.387789+00:00,2026-09-12T22:03:25.232152+00:00,5af5dbca378e0c3e79a4328cd310c49075e91aace9a76ccb97b655f020d866e4,False,False,,True,unclear,pass,unclear,False,76.68,1720,-26.39871325727588,0.08485843333333334,0.042414,0.0514,0.026172,,,
S005,P03-1,P03,en,gptlive,gemini,sim-create-order,True,completed,2026-09-12T22:03:25.330152+00:00,2026-09-12T22:05:55.109693+00:00,41a1e0b990f602305c56c70bb7d86f2fb9340ab220ead7e921f1992515c699dd,True,True,,True,pass,pass,pass,False,116.86,1740,-25.334661364429177,0.1166051,0.0593925,0.0514,0.040514,,,
S006,P03-2,P03,en,gemini,gemini,sim-create-order,True,completed,2026-09-12T22:05:55.234621+00:00,2026-09-12T22:07:39.041099+00:00,291c9aa79382e4165cadd87e56aff36729e2524ecfbbc93f3f6e10f13bd70a83,True,True,,False,pass,pass,pass,False,71.42,2260,-17.365328608898487,0.037074,0.01987875,0.0514,0.024398,,,
S007,P04-1,P04,en,gemini,gptlive,sim-create-order,True,completed,2026-09-12T22:07:39.179659+00:00,2026-09-12T22:09:24.435051+00:00,062d11df15a5284cdad9f77ef12d28d0ef32207b0290a7dda31ca623bfe2987e,True,True,,True,pass,unclear,pass,False,71.78,1780.0,-17.564603950918254,0.04715925,0.060833333333333336,0.0514,0.024623,,,
S008,P04-2,P04,en,gptlive,gptlive,sim-create-order,True,completed,2026-09-12T22:09:24.575979+00:00,2026-09-12T22:13:01.092144+00:00,5abcea9ed2de630d6eef8077a824ef29e905ebc43dec871e1c38a9e665831e73,True,True,,True,pass,pass,pass,False,180.02,1980,-19.35808907649056,0.1657036,0.15166666666666667,0.1028,0.038736,,,
S009,P05-1,P05,en,gptlive,gptlive,sim-stock-shortage,True,completed,2026-09-12T22:13:01.310923+00:00,2026-09-12T22:16:38.645700+00:00,62af7662d2f0613a8ed1813d4b9df357c314c106588c21018fe308bff205bbc6,False,True,empty-stock-order-reference-v1,True,unclear,pass,pass,False,179.92,1840,-20.394428451978644,0.1582096,0.15083333333333335,0.0878,0.019168,,,
S010,P05-2,P05,en,gemini,gptlive,sim-stock-shortage,True,completed,2026-09-12T22:16:38.833149+00:00,2026-09-12T22:20:17.074689+00:00,b73f77408763533f0c93be0d65e37e9d2f520c8f1253bd5e9e3ed71b965db7bd,True,True,,True,pass,pass,pass,False,179.94,2110.0,-18.395535755982152,0.030903,0.15166666666666667,0.0878,0.018671,,,
S011,P06-1,P06,en,gptlive,gemini,sim-no-consent,True,completed,2026-09-12T22:20:17.258537+00:00,2026-09-12T22:22:12.976714+00:00,9d54a1347144212d1761376255b9a50020727d3618875685a5bda56c86f3f078,True,True,,True,pass,pass,not_applicable,False,79.18,1550.0,-24.270155037018153,0.07323023333333334,0.02166075,0.0514,0.027673,,,
S012,P06-2,P06,en,gemini,gemini,sim-no-consent,True,completed,2026-09-12T22:22:13.174388+00:00,2026-09-12T22:23:36.150409+00:00,8578e551db69d292001559d753495a3781e1baeba08b79876390b6a71b30b380,True,True,,True,pass,pass,not_applicable,False,44.06,2010.0,-18.445027467120802,0.01780125,0.01056525,0.0257,0.014556,,,
S013,P07-1,P07,en,gptlive,gemini,sim-retry-after-timeout,True,completed,2026-09-12T22:23:36.360085+00:00,2026-09-12T22:25:58.729648+00:00,f773d72a5226aa07773b9e9c2c7158d4f5e7f87d5bd0658da586dccce096a232,True,True,,True,unclear,unclear,pass,False,101.62,1770.0,-24.206658272843093,0.10199036666666668,0.05075325,0.0514,0.034421,,,
S014,P07-2,P07,en,gemini,gemini,sim-retry-after-timeout,True,completed,2026-09-12T22:25:58.991356+00:00,2026-09-12T22:28:32.525543+00:00,8e593552c1616b3495d3d8dd5899585e0e559e76fe623abe8579aa8469375534,True,True,,True,unclear,pass,pass,False,114.04,2270.0,-17.828789112264467,0.064476,0.0306735,0.0514,0.039201,,,
S015,P08-1,P08,en,gptlive,gemini,sim-amend-quantity,True,completed,2026-09-12T22:28:32.756330+00:00,2026-09-12T22:31:22.487282+00:00,ee808c85709b16e7edd075e8d0e50dd97138e4fe222398e67585b49030def002,False,False,,True,fail,unclear,not_applicable,False,129.82,1980,-23.502577284312174,0.12313823333333333,0.03632475,0.0771,0.044014,,,
S016,P08-2,P08,en,gemini,gemini,sim-amend-quantity,True,completed,2026-09-12T22:31:22.743488+00:00,2026-09-12T22:33:58.117075+00:00,bc74142a8503388479ec25987208870ad9703ad2853f28dc2ca5b77be04c027d,True,True,,True,fail,pass,fail,False,115.58,2010.0,-18.126999268953302,0.0471915,0.038817,0.0514,0.040019,,,
S017,P09-1,P09,en,gptlive,gptlive,sim-retry-after-timeout,True,completed,2026-09-12T22:33:58.387994+00:00,2026-09-12T22:37:41.726580+00:00,0d8dc1d27140b93030c579b4c05002ae7b35bc1ec0a75d8926a02be630254d53,False,False,,True,fail,unclear,pass,False,180.02,1620,-19.660254132622097,0.167106,0.15166666666666667,0.0903,0.041729,,,
